Año,Provincia,Población,Electores
1986,SAN JOSÉ,1009858,590640
1986,ALAJUELA,488948,257699
1986,CARTAGO,309427,161467
1986,HEREDIA,230170,122123
1986,GUANACASTE,216071,114457
1986,PUNTARENAS,299136,145609
1986,LIMÓN,196880,94479
1990,SAN JOSÉ,1110088,665920
1990,ALAJUELA,548329,296419
1990,CARTAGO,344023,186969
1990,HEREDIA,265803,141210
1990,GUANACASTE,229838,123981
1990,PUNTARENAS,325570,163027
1990,LIMÓN,232928,114524
1994,SAN JOSÉ,1214288,733725
1994,ALAJUELA,617544,329553
1994,CARTAGO,381952,211307
1994,HEREDIA,304158,163219
1994,GUANACASTE,247060,131677
1994,PUNTARENAS,348114,174200
1994,LIMÓN,275802,137667
1998,SAN JOSÉ,1330821,784055
1998,ALAJUELA,699218,363238
1998,CARTAGO,425674,231970
1998,HEREDIA,345799,185965
1998,GUANACASTE,265116,141690
1998,PUNTARENAS,364166,185438
1998,LIMÓN,325616,153624
2002,SAN JOSÉ,1436218,855823
2002,ALAJUELA,771591,410538
2002,CARTAGO,461848,261642
2002,HEREDIA,384183,215096
2002,GUANACASTE,275993,155064
2002,PUNTARENAS,369859,206349
2002,LIMÓN,372293,175339
2006,SAN JOSÉ,1531753,936826
2006,ALAJUELA,828250,465871
2006,CARTAGO,488085,295194
2006,HEREDIA,417955,245993
2006,GUANACASTE,279418,174630
2006,PUNTARENAS,369116,231511
2006,LIMÓN,411576,200588
2010,SAN JOSÉ,1633282,1008177
2010,ALAJUELA,876073,524215
2010,CARTAGO,510727,328782
2010,HEREDIA,449257,278544
2010,GUANACASTE,280488,199237
2010,PUNTARENAS,368827,259408
2010,LIMÓN,444884,224128
2014,SAN JOSÉ,1576884,1063061
2014,ALAJUELA,946607,577493
2014,CARTAGO,516831,359985
2014,HEREDIA,483154,306901
2014,GUANACASTE,359869,221688
2014,PUNTARENAS,461671,287254
2014,LIMÓN,428103,249285
2018,SAN JOSÉ,1635144,1114779
2018,ALAJUELA,1002917,630990
2018,CARTAGO,533795,387905
2018,HEREDIA,512172,332829
2018,GUANACASTE,382821,240637
2018,PUNTARENAS,486763,310662
2018,LIMÓN,449781,272633
2022,SAN JOSÉ,1685299,1157828
2022,ALAJUELA,1055637,679844
2022,CARTAGO,547691,409878
2022,HEREDIA,539598,355738
2022,GUANACASTE,404774,259994
2022,PUNTARENAS,510566,332865
2022,LIMÓN,469797,294931
2026,SAN JOSÉ,1657287,1191100
2026,ALAJUELA,1067200,723430
2026,CARTAGO,532077,428825
2026,HEREDIA,542110,377791
2026,GUANACASTE,410331,278588
2026,PUNTARENAS,502255,351006
2026,LIMÓN,453600,313778
