Año,Edad,Participación,Electores
1986,18-30,Votos,502620
1990,18-30,Votos,531381
1994,18-30,Votos,524376
1998,18-30,Votos,452489
2002,18-30,Votos,477412
2006,18-30,Votos,514467
2010,18-30,Votos,591386
2014,18-30,Votos,605153
2018,18-30,Votos,558769
2022,18-30,Votos,476365
1986,18-30,Abstencionismo,108463
1990,18-30,Abstencionismo,117233
1994,18-30,Abstencionismo,125193
1998,18-30,Abstencionismo,215524
2002,18-30,Abstencionismo,247963
2006,18-30,Abstencionismo,304504
2010,18-30,Abstencionismo,300126
2014,18-30,Abstencionismo,319286
2018,18-30,Abstencionismo,354747
2022,18-30,Abstencionismo,409755
1986,30-39,Votos,277412
1990,30-39,Votos,341210
1994,30-39,Votos,401798
1998,30-39,Votos,372574
2002,30-39,Votos,379514
2006,30-39,Votos,355539
2010,30-39,Votos,395398
2014,30-39,Votos,434541
2018,30-39,Votos,480149
2022,30-39,Votos,466076
1986,30-39,Abstencionismo,64347
1990,30-39,Abstencionismo,77135
1994,30-39,Abstencionismo,91453
1998,30-39,Abstencionismo,160015
2002,30-39,Abstencionismo,168834
2006,30-39,Abstencionismo,192598
2010,30-39,Abstencionismo,179765
2014,30-39,Abstencionismo,204129
2018,30-39,Abstencionismo,245041
2022,30-39,Abstencionismo,311582
1986,40-49,Votos,174745
1990,40-49,Votos,207352
1994,40-49,Votos,253363
1998,40-49,Votos,264276
2002,40-49,Votos,318137
2006,40-49,Votos,344335
2010,40-49,Votos,390181
2014,40-49,Votos,383818
2018,40-49,Votos,378035
2022,40-49,Votos,384854
1986,40-49,Abstencionismo,35203
1990,40-49,Abstencionismo,41600
1994,40-49,Abstencionismo,52833
1998,40-49,Abstencionismo,103018
2002,40-49,Abstencionismo,125379
2006,40-49,Abstencionismo,163279
2010,40-49,Abstencionismo,153394
2014,40-49,Abstencionismo,164002
2018,40-49,Abstencionismo,177084
2022,40-49,Abstencionismo,223403
1986,50-59,Votos,126305
1990,50-59,Votos,141333
1994,50-59,Votos,157776
1998,50-59,Votos,158218
2002,50-59,Votos,188954
2006,50-59,Votos,223797
2010,50-59,Votos,289363
2014,50-59,Votos,338060
2018,50-59,Votos,365327
2022,50-59,Votos,350096
1986,50-59,Abstencionismo,23607
1990,50-59,Abstencionismo,26674
1994,50-59,Abstencionismo,32016
1998,50-59,Abstencionismo,57221
2002,50-59,Abstencionismo,72080
2006,50-59,Abstencionismo,100771
2010,50-59,Abstencionismo,106940
2014,50-59,Abstencionismo,130882
2018,50-59,Abstencionismo,156453
2022,50-59,Abstencionismo,189083
1986,60-69,Votos,77946
1990,60-69,Votos,95901
1994,60-69,Votos,109976
1998,60-69,Votos,105370
2002,60-69,Votos,115139
2006,60-69,Votos,126667
2010,60-69,Votos,161987
2014,60-69,Votos,197971
2018,60-69,Votos,239268
2022,60-69,Votos,270003
1986,60-69,Abstencionismo,16363
1990,60-69,Abstencionismo,18991
1994,60-69,Abstencionismo,22382
1998,60-69,Abstencionismo,36959
2002,60-69,Abstencionismo,44783
2006,60-69,Abstencionismo,60149
2010,60-69,Abstencionismo,60494
2014,60-69,Abstencionismo,76018
2018,60-69,Abstencionismo,100745
2022,60-69,Abstencionismo,140523
1986,70-79,Votos,44614
1990,70-79,Votos,49808
1994,70-79,Votos,56487
1998,70-79,Votos,58063
2002,70-79,Votos,67139
2006,70-79,Votos,71843
2010,70-79,Votos,86820
2014,70-79,Votos,97996
2018,70-79,Votos,114385
2022,70-79,Votos,129258
1986,70-79,Abstencionismo,13314
1990,70-79,Abstencionismo,14730
1994,70-79,Abstencionismo,16490
1998,70-79,Abstencionismo,23808
2002,70-79,Abstencionismo,30224
2006,70-79,Abstencionismo,39689
2010,70-79,Abstencionismo,39999
2014,70-79,Abstencionismo,47129
2018,70-79,Abstencionismo,59085
2022,70-79,Abstencionismo,82871
1986,80YMÁS,Votos,12658
1990,80YMÁS,Votos,17341
1994,80YMÁS,Votos,22203
1998,80YMÁS,Votos,20923
2002,80YMÁS,Votos,23123
2006,80YMÁS,Votos,26209
2010,80YMÁS,Votos,35712
2014,80YMÁS,Votos,41680
2018,80YMÁS,Votos,46831
2022,80YMÁS,Votos,47196
1986,80YMÁS,Abstencionismo,8877
1990,80YMÁS,Abstencionismo,11361
1994,80YMÁS,Abstencionismo,15002
1998,80YMÁS,Abstencionismo,17522
2002,80YMÁS,Abstencionismo,21170
2006,80YMÁS,Abstencionismo,26766
2010,80YMÁS,Abstencionismo,30926
2014,80YMÁS,Abstencionismo,37656
2018,80YMÁS,Abstencionismo,46410
2022,80YMÁS,Abstencionismo,60845
2026,18-29,Padrón,857580
2026,30-39,Padrón,790418
2026,40-49,Padrón,687934
2026,50-59,Padrón,538661
2026,60-69,Padrón,469087
2026,70-79,Padrón,262908
2026,80YMÁS,Padrón,125200
