Año,Provincia,Partido,Votos
1986,SAN JOSÉ,LIBERACIÓN NACIONAL,256781
1986,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,207615
1986,ALAJUELA,LIBERACIÓN NACIONAL,112928
1986,ALAJUELA,UNIDAD SOCIAL CRISTIANA,97560
1986,CARTAGO,LIBERACIÓN NACIONAL,71977
1986,CARTAGO,UNIDAD SOCIAL CRISTIANA,58969
1986,HEREDIA,LIBERACIÓN NACIONAL,53687
1986,HEREDIA,UNIDAD SOCIAL CRISTIANA,45972
1986,GUANACASTE,LIBERACIÓN NACIONAL,46301
1986,GUANACASTE,UNIDAD SOCIAL CRISTIANA,45011
1986,PUNTARENAS,LIBERACIÓN NACIONAL,51200
1986,PUNTARENAS,UNIDAD SOCIAL CRISTIANA,52319
1986,LIMÓN,LIBERACIÓN NACIONAL,27440
1986,LIMÓN,UNIDAD SOCIAL CRISTIANA,34988
1990,SAN JOSÉ,LIBERACIÓN NACIONAL,262760
1990,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,261997
1990,ALAJUELA,LIBERACIÓN NACIONAL,126260
1990,ALAJUELA,UNIDAD SOCIAL CRISTIANA,117003
1990,CARTAGO,LIBERACIÓN NACIONAL,77948
1990,CARTAGO,UNIDAD SOCIAL CRISTIANA,75170
1990,HEREDIA,LIBERACIÓN NACIONAL,59747
1990,HEREDIA,UNIDAD SOCIAL CRISTIANA,56250
1990,GUANACASTE,LIBERACIÓN NACIONAL,53017
1990,GUANACASTE,UNIDAD SOCIAL CRISTIANA,46653
1990,PUNTARENAS,LIBERACIÓN NACIONAL,67179
1990,PUNTARENAS,UNIDAD SOCIAL CRISTIANA,50571
1990,LIMÓN,LIBERACIÓN NACIONAL,47678
1990,LIMÓN,UNIDAD SOCIAL CRISTIANA,29057
1994,SAN JOSÉ,FUERZA DEMOCRÁTICA,13796
1994,SAN JOSÉ,LIBERACIÓN NACIONAL,286227
1994,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,272754
1994,ALAJUELA,FUERZA DEMOCRÁTICA,4648
1994,ALAJUELA,LIBERACIÓN NACIONAL,136933
1994,ALAJUELA,UNIDAD SOCIAL CRISTIANA,129050
1994,CARTAGO,FUERZA DEMOCRÁTICA,3514
1994,CARTAGO,LIBERACIÓN NACIONAL,86946
1994,CARTAGO,UNIDAD SOCIAL CRISTIANA,80865
1994,HEREDIA,FUERZA DEMOCRÁTICA,3464
1994,HEREDIA,LIBERACIÓN NACIONAL,67221
1994,HEREDIA,UNIDAD SOCIAL CRISTIANA,63215
1994,GUANACASTE,FUERZA DEMOCRÁTICA,663
1994,GUANACASTE,LIBERACIÓN NACIONAL,53644
1994,GUANACASTE,UNIDAD SOCIAL CRISTIANA,52165
1994,PUNTARENAS,FUERZA DEMOCRÁTICA,966
1994,PUNTARENAS,LIBERACIÓN NACIONAL,63421
1994,PUNTARENAS,UNIDAD SOCIAL CRISTIANA,63466
1994,LIMÓN,FUERZA DEMOCRÁTICA,1223
1994,LIMÓN,LIBERACIÓN NACIONAL,44947
1994,LIMÓN,UNIDAD SOCIAL CRISTIANA,49813
1998,SAN JOSÉ,FUERZA DEMOCRÁTICA,17581
1998,SAN JOSÉ,INTEGRACIÓN NACIONAL,11421
1998,SAN JOSÉ,LIBERACIÓN NACIONAL,246828
1998,SAN JOSÉ,RENOVACIÓN COSTARRICENSE,9543
1998,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,226859
